Date,Phase,BA,BA mean,BA max,PA1,PA1 mean,PA1 max,PA2,PA2 mean,PA2 max,PB,PB mean,PB max,SE,SE mean,SE max,ES,ES mean,ES max,PR,PR mean,PR max,SC,SC mean,SC max
14/01/2006,FM,,,,,,,,,,,,,,,,,,,,,,,,
29/01/2006,NM,,,,,,,,,,,,,,,,,,,,,,,,
13/02/2006,FM,,,,,,,,,,,,,,,,,,,,,,,,
28/02/2006,NM,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2006,FM,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2006,NM,,,,,,,,,,,,,,,,,,,,,,,,
13/04/2006,FM,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2006,NM,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2006,FM,,,,,,,,,,,,,,,,,,,,,,,,
20/11/2006,NM,,,,,,,,,,,,,,,,,,,,,,,,
05/12/2006,FM,,,,,,,,,,,,,,,,,,,,,,,,
20/12/2006,NM,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2007,FM,,,,,,,,,,,,,,,,,,,,,,,,
19/01/2007,NM,,,,,,,,,,,,,,,,,,,,,,,,
02/02/2007,FM,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2007,NM,,,,,,,,,,,,,,,,,,,,,,,,
03/03/2007,FM,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2007,NM,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2007,FM,,,,,,,,,,,,,,,,,,,,,,,,
17/04/2007,NM,,,,,,,,,,,,,,,,,,,,,,,,
09/11/2007,NM,,,,,,,,,,,,,,,,,,,,,,,,
24/11/2007,FM,,,,,,,,,,,,,,,,,,,,,,,,
09/12/2007,NM,,,,,,,,,,,,,,,,,,,,,,,,
24/12/2007,FM,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2008,NM,,,,,,,,,,,,,,,,,,,,,,,,
22/01/2008,FM,,,,,,,,,,,,,,,,,,,,,,,,
07/02/2008,NM,,,,,,,,,,,,,,,,,,,,,,,,
21/02/2008,FM,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2008,NM,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2008,FM,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2008,NM,,,,,,,,,,,,,,,,,,,,,,,,
20/04/2008,FM,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2008,FM,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2008,NM,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2008,FM,,,,,,,,,,,,,,,,,,,,,,,,
27/12/2008,NM,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2009,FM,,,,,,,,,,,,,,,,,,,,,,,,
26/01/2009,NM,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2009,FM,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2009,NM,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2009,FM,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2009,NM,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2009,FM,,,,,,,,,,,,,,,,,,,,,,,,
25/04/2009,NM,,,,,,,,,,,,,,,,,,,,,,,,
02/11/2009,FM,,,,,,,,,,,,,,,,,,,,,,,,
16/11/2009,NM,,,,,,,,,,,,,,,,,,,,,,,,
02/12/2009,FM,,,,,,,,,,,,,,,,,,,,,,,,
16/12/2009,NM,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2009,FM,,,,,,,,,,,,,,,,,,,,,,,,
15/01/2010,NM,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2010,FM,,,,,,,,,,,,,,,,,,,,,,,,
14/02/2010,NM,,,,,,,,,,,,,,,,,,,,,,,,
28/02/2010,FM,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2010,NM,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2010,FM,,,,,,,,,,,,,,,,,,,,,,,,
14/04/2010,NM,,,,,,,,,,,,,,,,,,,,,,,,
28/04/2010,FM,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2010,NM,,,,,,,,,,,,,,,,,,,,,,,,
21/11/2010,FM,,,,,,,,,,,,,,,,,,,,,,,,
05/12/2010,NM,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2010,FM,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2011,NM,,,,,,,,,,,,,,,,,,,,,,,,
19/01/2011,FM,,,,,,,,,,,,,,,,,,,,,,,,
03/02/2011,NM,,,,,,,,,,,,,,,,,,,,,,,,
18/02/2011,FM,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2011,NM,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2011,FM,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2011,NM,,,,,,,,,,,,,,,,,,,,,,,,
18/04/2011,FM,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2011,FM,,,,,,,,,,,,,,,,,,,,,,,,
25/11/2011,NM,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2011,FM,,,,,,,,,,,,,,,,,,,,,,,,
24/12/2011,NM,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2012,FM,,,,,,,,,,,,,,,,,,,,,,,,
23/01/2012,NM,,,,,,,,,,,,,,,,,,,,,,,,
07/02/2012,FM,,,,,,,,,,,,,,,,,,,,,,,,
21/02/2012,NM,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2012,FM,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2012,NM,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2012,FM,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2012,NM,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2012,NM,,,,,,,,,,,,,,,,,,,,,,,,
28/11/2012,FM,,,,,,,,,,,,,,,,,,,,,,,,
13/12/2012,NM,,,,,,,,,,,,,,,,,,,,,,,,
28/12/2012,FM,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2013,NM,Yes,4,8,,,,,,,,,,,,,,,,,,,,,
27/01/2013,FM,Yes,13,16,,,,,,,,,,,,,,,,,,,,,
10/02/2013,NM,Yes,4.3,10,,,,,,,,,,,,,,,,,,,,,
25/02/2013,FM,Yes,19.5,47,,,,,,,,,,,,,,,,,,,,,
11/03/2013,NM,No,0.2,1,,,,,,,,,,,,,,,,,,,,,
27/03/2013,FM,Yes,41.2,53,,,,,,,,,,,,,,,,,,,,,
10/04/2013,NM,No,0,0,,,,,,,,,,,,,,,,,,,,,
25/04/2013,FM,No,0,0,,,,,,,,,,,,,,,,,,,,,
03/11/2013,NM,,,,,,,,,,,,,,,,,,,,,,,,
17/11/2013,FM,,,,,,,,,,,,,,,,,,,,,,,,
03/12/2013,NM,No,0,0,,,,,,,,,,,,,,,,,,,,,
17/12/2013,FM,No,0,0,,,,,,,,,,,,,,,,,,,,,
01/01/2014,NM,Yes,8.5,25,,,,,,,,,,,,,,,,,,,,,
16/01/2014,FM,No,0,0,,,,,,,,,,,,,,,,,,,,,
30/01/2014,NM,Yes,15,35,,,,Yes,406.17,471,Yes,106.5,142,,,,Yes,22.33,35,,,,,,
14/02/2014,FM,No,0,0,No,0,0,Yes,5,7,No,0,0,,,,No,1,3,,,,,,
01/03/2014,NM,Yes,25,37,Yes,213.12,281,Yes,548,722,Yes,123.83,180,Yes,36,49,Yes,16.67,30,,,,,,
16/03/2014,FM,No,0.33,0.82,No,,,No,1,2,No,0,0,,,,,,,,,,,,
30/03/2014,NM,Yes,17.5,30,,,,Yes,5,10,No,0,0,,,,,,,,,,,,
15/04/2014,FM,Yes,0.17,1,,,,No,2,3,,,,,,,,,,,,,,,
29/04/2014,NM,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2014,FM,,,,,,,,,,,,,,,,,,,,,,,,
22/11/2014,NM,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2014,FM,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2014,NM,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2015,FM,No,0.17,1,,,,No,0.17,1,No,0,0,,,,,,,,,,,,
20/01/2015,NM,Yes,47.67,96,Yes,164.17,322,Yes,55.83,88,Yes,227.33,422,Yes,118.33,250,,,,,,,,,
03/02/2015,FM,No,0,0,No,0.5,2,No,1.33,3,No,0,0,,0,0,,,,,,,,,
18/02/2015,NM,Yes,18.83,32,Yes,11.67,27,Yes,241.67,363,Yes,100.83,172,,,,,,,,,,,,
05/03/2015,FM,No,0,0,No,0.83,2,Yes,25,37,No,0,0,,,,No,1,3,,,,,,
20/03/2015,NM,Yes,48.83,65,Yes,152.33,234,Yes,7,12,Yes,93.33,212,,,,Yes,30,43,,,,,,
04/04/2015,FM,,,,,,,,,,,,,,,,No,0.67,1,,,,,,
18/04/2015,NM,,,,,,,,,,,,,,,,No,1,3,,,,,,
11/11/2015,NM,,,,,,,,,,,,,,,,,,,,,,,,
25/11/2015,FM,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2015,NM,,,,,,,,,,,,,,,,,,,,,,Yes,3,7
25/12/2015,FM,,,,,,,,,,,,,,,,,,,,,,Yes,351,608
09/01/2016,NM,Yes,21,28,Yes,148.33,203,Yes,3.17,7,Yes,164.67,215,Yes,109,165,,,,,,,Yes,35.67,49
23/01/2016,FM,No,0,0,Yes,8.83,18,Yes,68.67,96,No,0,0,,,,,,,,,,Yes,26.17,67
08/02/2016,NM,Yes,54.5,86,Yes,42.33,98,Yes,347.17,531,Yes,177.83,247,,,,No,1,2,,,,Yes,27.83,46
22/02/2016,FM,No,0,0,Yes,2.67,5,No,0.33,2,No,0,0,,,,No,1.5,3,,,,,,
08/03/2016,NM,Yes,13.33,18,Yes,2,7,Yes,122.5,238,Yes,98.5,172,,,,Yes,14,25,,,,Yes,3.5,13
23/03/2016,FM,No,0,0,,,,No,0.67,4,No,0,0,,,,No,1,2,,,,,,
07/04/2016,NM,Yes,48.83,65,,,,,,,,,,,,,Yes,2,5,,,,,,
22/04/2016,FM,,,,,,,,,,,,,,,,,,,,,,,,
14/11/2016,FM,,,,,,,,,,,,,,,,,,,,,,,,
30/11/2016,NM,,,,,,,,,,,,,,,,,,,,,,No,0.33,1
13/12/2016,FM,,,,,,,,,,,,,,,,,,,,,,No,1.5,3
29/12/2016,NM,Yes,22.67,58,,,,,,,,,,,,,,,,,,,Yes,30.67,152
12/01/2017,FM,Yes,12.67,21,Yes,4,8,Yes,2.33,7,Yes,331.17,553,Yes,91.25,120,,,,,,,Yes,39,86
27/01/2017,NM,Yes,42.83,63,No,0,0,Yes,66,169,Yes,131.33,201,,,,,,,,,,,,
10/02/2017,FM,No,0,0,Yes,7.67,14,Yes,5.17,11,No,0,0,No,0,0,,,,,,,Yes,26.33,53
26/02/2017,NM,Yes,34.17,46,Yes,95.5,132,Yes,326.83,468,Yes,221,422,Yes,66.83,83,,,,,,,Yes,13,31
12/03/2017,FM,No,0,0,No,1.5,4,Yes,4.67,12,No,0,0,,,,,,,,,,No,0.17,1
27/03/2017,NM,Yes,66.17,129,No,1.67,3,Yes,16.5,28,Yes,79.67,172,,,,,,,,,,,,
11/04/2017,FM,No,0,0,,,,,,,,,,,,,,,,,,,,,
26/04/2017,NM,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2017,FM,,,,,,,,,,,,,,,,,,,,,,,,
18/11/2017,NM,,,,,,,,,,,,,,,,,,,,0,0,,,
03/12/2017,FM,,,,,,,,,,,,,,,,,,,No,9.17,14,,,
18/12/2017,NM,,,,,,,,,,,,,,,,,,,Yes,22.5,68,Yes,65.17,107
02/01/2018,FM,Yes,26.33,56,Yes,107.83,168,Yes,5.5,11,Yes,65.5,163,Yes,50.67,64,No,2,3,Yes,2.83,6,Yes,7.17,14
17/01/2018,NM,No,0,0,Yes,1.17,5,No,1.33,3,No,0,0,No,0,0,Yes,6.5,13,Yes,11.17,15,Yes,89.33,148
31/01/2018,FM,Yes,99.83,181,Yes,44.67,91,Yes,377,485,Yes,283.17,412,Yes,121,178,Yes,47.83,62,Yes,0.67,3,Yes,4.33,9
15/02/2018,NM,No,0,0,No,0,0,No,0.33,1,No,0,0,No,0,0,Yes,16,23,No,,,,,
01/03/2018,FM,No,0,0,Yes,5.5,10,Yes,207.67,415,Yes,86.83,143,No,0,0,,,,,,,,,
17/03/2018,NM,Yes,27.67,107,No,0,0,Yes,49.83,105,No,0,0,No,0,0,,,,,,,,,
31/03/2018,FM,No,0,0,No,2.83,4,No,0.17,1,No,0,0,No,0,0,,,,,,,,,
15/04/2018,NM,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2018,FM,,,,,,,,,,,,,,,,,,,,,,,,
07/11/2018,NM,,,,,,,,,,,,,,,,,,,No,0,0,No,0,1
23/11/2018,FM,,,,,,,,,,,,,,,,,,,No,0,0,Yes,3,5
07/12/2018,NM,,,,,,,,,,,,,,,,,,,Yes,4.67,7,Yes,29.67,45
22/12/2018,FM,,,,Yes,137.5,182,Yes,31.83,44,Yes,93.67,139,,,,,,,Yes,28.5,39,Yes,177.5,303
05/01/2019,NM,No,0,0,No,0,0,Yes,8.5,14,No,0,0,Yes,3,5,,,,No,0,0,,,
21/01/2019,FM,Yes,118.3,162,Yes,43.3,80,Yes,85,152,Yes,351,750,Yes,93.83,121,,,,Yes,26.33,33,,,
04/02/2019,NM,No,0,0,No,0,0,Yes,24.33,41,No,0,0,No,0,0,,,,No,0,0,Yes,2.83,8
19/02/2019,FM,Yes,36,52,Yes,113.8,191,Yes,548.83,848,Yes,90.33,166,Yes,92.33,197,,,,Yes,10.67,15,,,
06/03/2019,NM,No,0,0,No,0.2,1,Yes,1.67,7,No,0,0,No,0,0,,,,,,,,,
20/03/2019,FM,Yes,27.12,51,No,0.7,1,Yes,91.67,190,Yes,4,24,Yes,114.67,162,,,,,,,,,
05/04/2019,NM,No,0.17,1,No,0,0,,,,No,0,0,No,0,0,,,,,,,,,
19/04/2019,FM,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2019,FM,,,,,,,,,,,,,,,,,,,,,,,,
26/11/2019,NM,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2019,FM,,,,,,,,,,,,,,,,,,,,,,,,
26/12/2019,NM,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2020,FM,Yes,18.5,36,,,,Yes,319.67,473,Yes,,,,202.7,290,,,,,,,,,
24/01/2020,NM,No,0,0,No,0,0,Yes,3.5,5,No,,,,0,0,,,,,,,,,
09/02/2020,FM,Yes,92.83,146,Yes,91.4,102,Yes,420.83,682,Yes,,,,225.5,347,,,,,,,,,
23/02/2020,NM,No,0,0,No,0,0,No,1,3,No,,,,0,0,,,,,,,,,
09/03/2020,FM,Yes,56.67,78,,,,Yes,327.5,454,Yes,,,,,,,,,,,,,,
24/03/2020,NM,No,0,0,,,,,,,,,,,,,,,,,,,,,
07/04/2020,FM,Yes,5.33,11,,,,,,,Yes,,,,,,,,,,,,,,
22/04/2020,NM,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2020,NM,,,,,,,,,,,,,,,,,,,,,,,,
30/11/2020,FM,,,,,,,,,,,,,,,,,,,,,,,,
14/12/2020,NM,,,,,,,,,,,,,,,,,,,,,,,,
30/12/2020,FM,,,,,,,,,,,,,,,,,,,,,,,,
